  -7,-256,  -3,  42,  62,   3, -51,-975,  60;
  -6,-254,  -2,  44,  64,   5, -53,-979,  60;
  -9,-253,  -6,  45,  64,   3, -54,-977,  59;
  -6,-255,  -6,  45,  64,   6, -52,-972,  62;
  -9,-254,  -3,  43,  62,   5, -49,-968,  64;
  -6,-252,  -5,  39,  60,   7, -50,-969,  65;
  -7,-251,  -4,  35,  58,   4, -51,-972,  67;
  -4,-255,   1,  30,  53,   6, -54,-970,  67;
  -6,-253,  -3,  25,  49,   4, -43,-972,  68;
  -6,-254,   0,  19,  47,   4, -45,-974,  67;
  -6,-255,   1,  13,  45,   2, -50,-971,  66;
  -2,-255,  -4,   3,  42,   3, -47,-974,  62;
  -7,-255,  -1,  -2,  42,   2, -46,-973,  67;
  -6,-254,  -2,  -8,  41,   3, -44,-978,  64;
  -6,-254,  -2, -12,  42,   1, -44,-980,  66;
  -6,-256,  -3, -14,  43,   4, -39,-985,  65;
  -4,-257,  -3, -13,  43,   2, -42,-978,  68;
  -3,-257,  -4, -13,  45,   2, -33,-978,  69;
  -5,-257,  -3, -10,  47,   0, -36,-977,  71;
  -2,-256,   0,  -7,  50,   3, -27,-987,  67;
  -3,-255,  -3,  -4,  53,   1, -37,-977,  66;
  -1,-255,  -5,   0,  55,   1, -33,-978,  61;
  -3,-256,  -3,   1,  57,  -2, -37,-977,  65;
  -2,-258,  -2,   1,  58,   1, -32,-978,  64;
  -2,-256,  -3,   4,  58,  -2, -35,-976,  65;
  -4,-255,  -3,   1,  58,  -1, -37,-974,  64;
  -3,-253,  -1,   0,  59,  -2, -38,-976,  68;
  -4,-254,  -3,   1,  60,  -1, -39,-973,  67;
  -4,-253,   0,  -1,  60,  -1, -36,-974,  66;
  -4,-255,  -3,  -1,  59,   0, -43,-973,  69;
  -5,-255,  -1,  -3,  60,  -2, -38,-970,  70;
  -3,-254,  -1,  -6,  58,   0, -41,-974,  69;
  -4,-253,  -1,  -9,  58,  -2, -43,-969,  70;
  -4,-255,  -3, -10,  58,   0, -40,-977,  69;
  -5,-254,  -3, -13,  59,  -3, -49,-975,  68;
  -7,-254,   1, -16,  59,  -2, -43,-975,  67;
  -4,-257,  -2, -19,  58,  -6, -49,-980,  67;
  -5,-255,  -1, -21,  56,  -5, -48,-990,  68;
  -5,-257,  -2, -24,  54,  -8, -47,-978,  66;
  -3,-255,  -4, -28,  50,  -7, -48,-980,  64;
  -6,-254,   3, -27,  50,  -8, -43,-984,  58;
  -5,-256,  -2, -29,  50,  -8, -44,-983,  69;
  -5,-254,  -5, -30,  49, -10, -39,-984,  62;
  -2,-256,  -2, -31,  52,  -8, -37,-977,  62;
  -2,-255,  -2, -33,  54, -11, -39,-989,  61;
  -4,-256,  -5, -34,  58, -10, -37,-975,  66;
  -5,-256,  -2, -36,  63, -11, -38,-980,  62;
  -5,-253,  -4, -39,  71, -10, -33,-972,  61;
  -2,-256,  -7, -41,  76, -10, -38,-988,  58;
  -4,-252,  -4, -43,  81,  -8, -34,-976,  56;
  -7,-252,  -3, -47,  83,  -9, -38,-982,  59;
  -4,-255,  -1, -49,  85,  -9, -40,-998,  63;
  -5,-257,  -2, -50,  83,  -9, -42,-979,  64;
  -7,-255,  -4, -47,  81,  -5, -41,-988,  58;
  -4,-257,  -5, -43,  75,  -6, -44,-997,  64;
  -8,-258,   2, -37,  70,  -3, -49,-993,  68;
  -5,-258,  -5, -27,  66,  -4, -44,-990,  67;
  -7,-256,  -3, -16,  61,  -3, -53,-993,  66;
  -7,-252,   0,  -2,  58,  -4, -50,-988,  69;
  -6,-258,   0,   9,  56,  -3, -53,-981,  67;
  -6,-255,   4,  14,  56,  -5, -49,-976,  70;
  -7,-253,   1,  20,  56,  -3, -48,-977,  71;
  -8,-254,   0,  22,  56,  -5, -49,-975,  68;
  -5,-252,  -3,  16,  59,  -2, -44,-971,  66;
  -7,-255,  -1,   7,  61,  -5, -46,-971,  66;
  -7,-255,  -2,  -5,  64,  -4, -43,-971,  68;
  -6,-252,  -1, -18,  65,  -7, -43,-973,  62;
  -1,-253,  -1, -32,  65,  -5, -38,-971,  64;
  -3,-252,  -4, -44,  68,  -8, -37,-969,  64;
   0,-255,  -2, -56,  67,  -6, -34,-970,  64;
  -4,-253,  -5, -65,  69,  -8, -38,-976,  60;
  -5,-254, -11, -70,  71,  -7, -30,-972,  60;
 -10,-265,   1, -75,  72,  -8, -34,-976,  59;
  -9,-253,  -8, -75,  76,  -4, -35,-981,  61;
  -7,-238,  -3, -71,  79,  -7, -37,-977,  57;
  -7,-270,   1, -65,  83,  -5, -38,-977,  60;
  -7,-252,  -8, -60,  83,  -5, -38,-978,  60;
