,0,1,2,3,4,5,6,7,8
0,-3.0,-259.0,-37.0,-14.0,65.0,-1.0,0.0,-1014.0,-182.0
1,-4.0,-262.0,-37.0,-15.0,64.0,-2.0,0.0,-1012.0,-182.0
2,-4.0,-261.0,-37.0,-13.0,65.0,-1.0,1.0,-1015.0,-182.0
3,-2.0,-261.0,-38.0,-13.0,65.0,-2.0,-1.0,-1017.0,-182.0
4,-8.0,-257.0,-36.0,-13.0,65.0,-1.0,1.0,-1020.0,-184.0
5,-6.0,-259.0,-36.0,-14.0,65.0,0.0,1.0,-1016.0,-186.0
6,-2.0,-259.0,-37.0,-12.0,65.0,0.0,5.0,-1017.0,-183.0
7,-6.0,-259.0,-37.0,-11.0,66.0,-1.0,8.0,-1017.0,-182.0
8,-7.0,-256.0,-40.0,-12.0,66.0,-1.0,6.0,-1014.0,-180.0
9,-2.0,-259.0,-36.0,-13.0,66.0,0.0,9.0,-1017.0,-185.0
10,-5.0,-260.0,-38.0,-12.0,66.0,0.0,5.0,-1015.0,-184.0
11,-7.0,-261.0,-35.0,-13.0,66.0,-1.0,5.0,-1017.0,-185.0
12,-5.0,-261.0,-34.0,-13.0,67.0,-1.0,1.0,-1018.0,-183.0
13,-5.0,-260.0,-37.0,-13.0,67.0,-1.0,2.0,-1016.0,-184.0
14,-2.0,-262.0,-39.0,-12.0,67.0,-1.0,3.0,-1012.0,-179.0
15,-4.0,-250.0,-38.0,-13.0,67.0,-3.0,3.0,-1021.0,-182.0
16,-5.0,-260.0,-35.0,-15.0,67.0,-2.0,6.0,-1016.0,-182.0
17,-4.0,-258.0,-39.0,-14.0,67.0,-2.0,5.0,-1017.0,-183.0
18,-4.0,-258.0,-37.0,-15.0,68.0,-2.0,0.0,-1016.0,-182.0
19,-7.0,-258.0,-39.0,-14.0,68.0,-2.0,7.0,-1014.0,-183.0
20,-8.0,-257.0,-36.0,-13.0,68.0,-4.0,3.0,-1012.0,-185.0
21,-3.0,-259.0,-34.0,-13.0,68.0,-4.0,0.0,-1016.0,-183.0
22,-6.0,-258.0,-32.0,-14.0,68.0,-3.0,5.0,-1016.0,-180.0
23,-5.0,-257.0,-35.0,-16.0,69.0,-4.0,1.0,-1011.0,-182.0
24,-7.0,-258.0,-36.0,-16.0,70.0,-4.0,3.0,-1016.0,-183.0
25,-7.0,-258.0,-35.0,-15.0,68.0,-3.0,0.0,-1017.0,-179.0
26,-5.0,-261.0,-34.0,-16.0,67.0,-3.0,0.0,-1009.0,-183.0
27,-6.0,-261.0,-35.0,-15.0,67.0,-4.0,2.0,-1020.0,-180.0
28,-5.0,-259.0,-36.0,-15.0,67.0,-3.0,0.0,-1018.0,-178.0
29,-6.0,-257.0,-35.0,-16.0,66.0,-2.0,-1.0,-1020.0,-184.0
30,-5.0,-258.0,-37.0,-15.0,67.0,-3.0,5.0,-1010.0,-179.0
31,-5.0,-258.0,-37.0,-15.0,67.0,-4.0,2.0,-1013.0,-183.0
32,-6.0,-259.0,-39.0,-16.0,66.0,-5.0,-1.0,-1014.0,-181.0
33,-9.0,-259.0,-35.0,-16.0,68.0,-7.0,2.0,-1014.0,-180.0
34,-3.0,-258.0,-39.0,-18.0,67.0,-6.0,3.0,-1015.0,-182.0
35,-2.0,-260.0,-39.0,-20.0,67.0,-8.0,3.0,-1010.0,-181.0
36,-4.0,-260.0,-38.0,-19.0,67.0,-7.0,2.0,-1016.0,-180.0
37,-2.0,-260.0,-35.0,-15.0,67.0,-8.0,4.0,-1015.0,-187.0
38,-5.0,-261.0,-39.0,-14.0,67.0,-8.0,5.0,-1023.0,-184.0
39,-7.0,-259.0,-35.0,-11.0,64.0,-6.0,3.0,-1017.0,-185.0
40,-6.0,-259.0,-39.0,-6.0,65.0,-6.0,2.0,-1025.0,-185.0
41,-5.0,-260.0,-39.0,-3.0,66.0,-7.0,6.0,-1016.0,-186.0
42,-6.0,-258.0,-35.0,-2.0,65.0,-5.0,6.0,-1018.0,-188.0
43,-2.0,-261.0,-39.0,0.0,66.0,-3.0,7.0,-1016.0,-183.0
44,-4.0,-259.0,-39.0,1.0,66.0,-2.0,7.0,-1013.0,-189.0
45,-8.0,-260.0,-37.0,1.0,67.0,0.0,3.0,-1011.0,-186.0
46,-5.0,-258.0,-43.0,0.0,67.0,0.0,5.0,-1016.0,-187.0
47,-8.0,-257.0,-38.0,-1.0,68.0,1.0,6.0,-1014.0,-191.0
48,-5.0,-260.0,-40.0,-2.0,68.0,1.0,6.0,-1009.0,-195.0
49,-7.0,-256.0,-35.0,-4.0,68.0,0.0,5.0,-1006.0,-188.0
50,-5.0,-257.0,-36.0,-8.0,67.0,-1.0,4.0,-1007.0,-184.0
51,-4.0,-258.0,-36.0,-12.0,68.0,-3.0,5.0,-1007.0,-184.0
52,-3.0,-257.0,-38.0,-17.0,67.0,-4.0,5.0,-1009.0,-184.0
53,-6.0,-258.0,-35.0,-20.0,67.0,-5.0,3.0,-1011.0,-181.0
54,-4.0,-261.0,-38.0,-21.0,65.0,-6.0,5.0,-1010.0,-178.0
55,-2.0,-259.0,-36.0,-22.0,65.0,-6.0,1.0,-1018.0,-172.0
56,-5.0,-261.0,-39.0,-22.0,66.0,-7.0,1.0,-1013.0,-176.0
57,-7.0,-260.0,-37.0,-20.0,67.0,-6.0,-5.0,-1017.0,-178.0
58,-4.0,-257.0,-37.0,-19.0,67.0,-6.0,4.0,-1016.0,-180.0
59,-5.0,-260.0,-37.0,-18.0,69.0,-5.0,0.0,-1021.0,-178.0
60,-4.0,-261.0,-38.0,-16.0,69.0,-5.0,2.0,-1019.0,-189.0
61,-5.0,-259.0,-36.0,-14.0,69.0,-3.0,-5.0,-1016.0,-185.0
62,-5.0,-261.0,-33.0,-13.0,69.0,-3.0,-4.0,-1021.0,-183.0
63,-5.0,-261.0,-34.0,-10.0,68.0,-3.0,0.0,-1011.0,-186.0
64,-6.0,-262.0,-34.0,-8.0,69.0,-1.0,2.0,-1017.0,-182.0
65,-2.0,-260.0,-35.0,-9.0,69.0,0.0,-2.0,-1015.0,-182.0
66,-5.0,-262.0,-36.0,-7.0,69.0,-1.0,0.0,-1010.0,-179.0
67,-5.0,-258.0,-39.0,-7.0,70.0,-1.0,-3.0,-1018.0,-179.0
68,-7.0,-258.0,-36.0,-6.0,70.0,-1.0,1.0,-1011.0,-180.0
69,-6.0,-259.0,-40.0,-6.0,68.0,-1.0,6.0,-1019.0,-181.0
70,-4.0,-260.0,-36.0,-5.0,68.0,0.0,5.0,-1014.0,-183.0
71,-8.0,-258.0,-37.0,-5.0,67.0,1.0,4.0,-1016.0,-180.0
72,-3.0,-261.0,-34.0,-5.0,65.0,1.0,1.0,-1011.0,-180.0
73,-7.0,-258.0,-37.0,-4.0,65.0,-2.0,3.0,-1015.0,-178.0
74,-7.0,-259.0,-35.0,-6.0,66.0,-2.0,8.0,-1014.0,-184.0
75,-1.0,-261.0,-38.0,-5.0,65.0,-1.0,12.0,-1015.0,-183.0
76,-4.0,-257.0,-41.0,-5.0,66.0,-1.0,2.0,-1014.0,-185.0
77,-7.0,-257.0,-41.0,-6.0,66.0,-1.0,7.0,-1013.0,-182.0
78,-4.0,-260.0,-38.0,-6.0,67.0,-1.0,1.0,-1015.0,-185.0
79,-6.0,-259.0,-40.0,-8.0,65.0,-2.0,2.0,-1014.0,-187.0
80,-6.0,-259.0,-35.0,-8.0,66.0,-1.0,9.0,-1013.0,-189.0
81,-3.0,-258.0,-36.0,-10.0,65.0,0.0,8.0,-1019.0,-180.0
82,-4.0,-260.0,-36.0,-10.0,66.0,0.0,7.0,-1012.0,-184.0
83,-4.0,-261.0,-40.0,-11.0,67.0,1.0,3.0,-1014.0,-183.0
84,-6.0,-258.0,-42.0,-12.0,67.0,0.0,7.0,-1012.0,-185.0
