,0,1,2,3,4,5,6,7,8
0,-26.0,-224.0,-54.0,63.0,-96.0,125.0,-103.0,-858.0,-74.0
1,-24.0,-217.0,-52.0,80.0,-84.0,114.0,-83.0,-851.0,-69.0
2,-16.0,-215.0,-48.0,92.0,-81.0,97.0,-67.0,-833.0,-57.0
3,-12.0,-215.0,-44.0,103.0,-85.0,79.0,-47.0,-819.0,-43.0
4,-12.0,-208.0,-41.0,114.0,-87.0,61.0,-35.0,-802.0,-24.0
5,-3.0,-201.0,-42.0,122.0,-87.0,49.0,-14.0,-783.0,-19.0
6,2.0,-193.0,-40.0,127.0,-83.0,43.0,-6.0,-742.0,-15.0
7,-3.0,-185.0,-36.0,124.0,-81.0,39.0,-4.0,-709.0,-9.0
8,-1.0,-176.0,-36.0,121.0,-81.0,38.0,-3.0,-671.0,-4.0
9,-4.0,-162.0,-34.0,120.0,-86.0,40.0,0.0,-633.0,-2.0
10,-4.0,-157.0,-35.0,121.0,-94.0,42.0,-11.0,-602.0,8.0
11,-4.0,-154.0,-32.0,124.0,-101.0,45.0,-15.0,-584.0,12.0
12,-4.0,-151.0,-31.0,131.0,-106.0,36.0,-7.0,-576.0,20.0
13,-6.0,-146.0,-31.0,127.0,-108.0,18.0,-17.0,-566.0,25.0
14,-5.0,-148.0,-32.0,118.0,-106.0,11.0,-15.0,-570.0,20.0
15,-1.0,-150.0,-34.0,91.0,-94.0,-1.0,-9.0,-578.0,9.0
16,-2.0,-148.0,-31.0,48.0,-70.0,-14.0,-7.0,-588.0,12.0
17,2.0,-151.0,-29.0,-4.0,-33.0,-30.0,7.0,-597.0,26.0
18,8.0,-155.0,-27.0,-53.0,10.0,-40.0,19.0,-596.0,33.0
19,10.0,-157.0,-21.0,-90.0,52.0,-44.0,34.0,-610.0,49.0
20,13.0,-162.0,-27.0,-112.0,89.0,-45.0,48.0,-622.0,35.0
21,19.0,-166.0,-34.0,-131.0,120.0,-44.0,74.0,-637.0,21.0
22,21.0,-170.0,-40.0,-153.0,143.0,-42.0,80.0,-646.0,-8.0
23,24.0,-168.0,-50.0,-192.0,157.0,-39.0,84.0,-653.0,-42.0
24,22.0,-173.0,-56.0,-240.0,166.0,-33.0,83.0,-658.0,-76.0
25,16.0,-170.0,-58.0,-290.0,166.0,-28.0,72.0,-664.0,-99.0
26,18.0,-168.0,-69.0,-337.0,157.0,-20.0,74.0,-647.0,-125.0
27,18.0,-166.0,-70.0,-373.0,143.0,-5.0,63.0,-636.0,-138.0
28,10.0,-166.0,-69.0,-397.0,133.0,12.0,45.0,-629.0,-152.0
29,2.0,-164.0,-71.0,-419.0,138.0,39.0,18.0,-629.0,-153.0
30,1.0,-163.0,-71.0,-446.0,159.0,74.0,9.0,-627.0,-142.0
31,2.0,-165.0,-66.0,-475.0,193.0,100.0,-3.0,-635.0,-119.0
32,4.0,-167.0,-59.0,-502.0,242.0,122.0,11.0,-648.0,-100.0
33,9.0,-171.0,-54.0,-524.0,301.0,144.0,25.0,-665.0,-80.0
34,13.0,-177.0,-53.0,-548.0,370.0,169.0,51.0,-691.0,-66.0
35,17.0,-181.0,-55.0,-579.0,442.0,202.0,63.0,-705.0,-77.0
36,19.0,-187.0,-55.0,-617.0,507.0,232.0,70.0,-733.0,-76.0
37,14.0,-191.0,-56.0,-673.0,549.0,259.0,72.0,-760.0,-81.0
38,24.0,-201.0,-54.0,-744.0,558.0,277.0,97.0,-786.0,-81.0
39,26.0,-209.0,-55.0,-817.0,542.0,281.0,103.0,-821.0,-67.0
40,31.0,-222.0,-42.0,-877.0,514.0,284.0,117.0,-865.0,-32.0
41,32.0,-239.0,-30.0,-906.0,495.0,290.0,124.0,-929.0,9.0
42,31.0,-259.0,-23.0,-894.0,498.0,293.0,118.0,-995.0,47.0
43,30.0,-279.0,-16.0,-844.0,521.0,293.0,111.0,-1076.0,72.0
44,27.0,-298.0,-12.0,-777.0,552.0,291.0,100.0,-1150.0,88.0
45,20.0,-315.0,-14.0,-707.0,581.0,285.0,78.0,-1210.0,75.0
46,11.0,-324.0,-16.0,-646.0,596.0,278.0,35.0,-1274.0,64.0
47,-4.0,-332.0,-22.0,-599.0,596.0,273.0,-13.0,-1304.0,50.0
48,-18.0,-342.0,-24.0,-564.0,585.0,267.0,-69.0,-1333.0,38.0
49,-34.0,-353.0,-25.0,-540.0,574.0,262.0,-131.0,-1350.0,34.0
50,-43.0,-348.0,-25.0,-533.0,574.0,255.0,-178.0,-1347.0,26.0
51,-53.0,-346.0,-29.0,-547.0,597.0,244.0,-207.0,-1349.0,25.0
52,-62.0,-343.0,-25.0,-575.0,639.0,228.0,-221.0,-1343.0,32.0
53,-61.0,-340.0,-16.0,-608.0,682.0,201.0,-226.0,-1337.0,64.0
54,-56.0,-343.0,-8.0,-638.0,718.0,165.0,-223.0,-1329.0,97.0
55,-54.0,-340.0,-6.0,-666.0,738.0,123.0,-216.0,-1334.0,120.0
56,-53.0,-342.0,8.0,-686.0,744.0,88.0,-200.0,-1340.0,142.0
57,-48.0,-347.0,5.0,-706.0,734.0,58.0,-173.0,-1345.0,148.0
58,-41.0,-347.0,10.0,-719.0,698.0,40.0,-147.0,-1350.0,157.0
59,-37.0,-351.0,8.0,-728.0,644.0,35.0,-125.0,-1372.0,160.0
60,-29.0,-354.0,0.0,-746.0,570.0,27.0,-97.0,-1378.0,146.0
61,-30.0,-355.0,9.0,-755.0,502.0,38.0,-105.0,-1381.0,145.0
62,-35.0,-367.0,1.0,-743.0,450.0,88.0,-128.0,-1410.0,130.0
63,-52.0,-376.0,-6.0,-720.0,402.0,137.0,-172.0,-1459.0,107.0
64,-75.0,-386.0,-17.0,-704.0,348.0,179.0,-266.0,-1495.0,67.0
65,-95.0,-392.0,-28.0,-702.0,277.0,216.0,-340.0,-1518.0,23.0
66,-114.0,-392.0,-43.0,-714.0,179.0,253.0,-407.0,-1529.0,-49.0
67,-123.0,-391.0,-64.0,-747.0,46.0,294.0,-458.0,-1517.0,-112.0
68,-135.0,-382.0,-76.0,-787.0,-130.0,332.0,-475.0,-1473.0,-200.0
69,-124.0,-363.0,-102.0,-820.0,-320.0,347.0,-461.0,-1406.0,-275.0
70,-114.0,-342.0,-128.0,-829.0,-485.0,330.0,-428.0,-1329.0,-357.0
71,-97.0,-319.0,-142.0,-815.0,-581.0,289.0,-396.0,-1234.0,-434.0
72,-86.0,-295.0,-162.0,-796.0,-600.0,235.0,-360.0,-1142.0,-489.0
73,-79.0,-266.0,-167.0,-789.0,-558.0,178.0,-327.0,-1031.0,-523.0
74,-73.0,-242.0,-167.0,-791.0,-490.0,124.0,-303.0,-940.0,-543.0
75,-67.0,-219.0,-163.0,-800.0,-418.0,72.0,-271.0,-850.0,-514.0
76,-57.0,-195.0,-153.0,-810.0,-361.0,25.0,-234.0,-769.0,-492.0
77,-44.0,-185.0,-147.0,-812.0,-334.0,-6.0,-181.0,-717.0,-465.0
78,-18.0,-181.0,-139.0,-806.0,-337.0,-24.0,-106.0,-690.0,-438.0
79,2.0,-180.0,-136.0,-803.0,-358.0,-42.0,-14.0,-665.0,-399.0
80,32.0,-178.0,-126.0,-791.0,-373.0,-71.0,96.0,-680.0,-378.0
81,52.0,-183.0,-123.0,-764.0,-355.0,-113.0,174.0,-689.0,-367.0
82,61.0,-184.0,-121.0,-721.0,-284.0,-159.0,223.0,-691.0,-355.0
83,68.0,-183.0,-122.0,-655.0,-171.0,-189.0,243.0,-692.0,-360.0
84,63.0,-182.0,-127.0,-577.0,-54.0,-190.0,252.0,-688.0,-377.0
85,59.0,-177.0,-135.0,-499.0,34.0,-164.0,230.0,-667.0,-402.0
86,51.0,-166.0,-141.0,-438.0,75.0,-123.0,203.0,-634.0,-431.0
87,41.0,-157.0,-145.0,-397.0,83.0,-74.0,167.0,-599.0,-452.0
88,32.0,-147.0,-146.0,-371.0,74.0,-24.0,136.0,-563.0,-459.0
89,33.0,-141.0,-154.0,-352.0,73.0,26.0,115.0,-531.0,-466.0
90,29.0,-134.0,-151.0,-348.0,90.0,68.0,115.0,-513.0,-468.0
91,30.0,-132.0,-155.0,-367.0,123.0,100.0,117.0,-514.0,-487.0
92,27.0,-137.0,-155.0,-423.0,158.0,118.0,109.0,-527.0,-484.0
93,18.0,-143.0,-153.0,-513.0,162.0,132.0,92.0,-563.0,-478.0
94,16.0,-159.0,-160.0,-636.0,128.0,147.0,72.0,-606.0,-480.0
95,11.0,-178.0,-156.0,-779.0,60.0,169.0,61.0,-692.0,-494.0
96,9.0,-193.0,-163.0,-934.0,-29.0,192.0,43.0,-766.0,-518.0
97,9.0,-218.0,-176.0,-1086.0,-119.0,207.0,39.0,-840.0,-561.0
98,4.0,-233.0,-187.0,-1234.0,-192.0,199.0,17.0,-910.0,-624.0
99,1.0,-244.0,-206.0,-1379.0,-240.0,173.0,6.0,-947.0,-693.0
100,1.0,-249.0,-226.0,-1507.0,-273.0,141.0,-4.0,-985.0,-762.0
101,0.0,-261.0,-239.0,-1627.0,-286.0,118.0,-2.0,-1005.0,-830.0
102,1.0,-265.0,-258.0,-1708.0,-296.0,87.0,-9.0,-1024.0,-905.0
103,0.0,-273.0,-267.0,-1753.0,-281.0,54.0,-14.0,-1042.0,-945.0
104,-3.0,-277.0,-272.0,-1751.0,-241.0,24.0,-28.0,-1053.0,-956.0
105,-7.0,-286.0,-263.0,-1704.0,-188.0,-4.0,-46.0,-1079.0,-941.0
106,-9.0,-288.0,-252.0,-1605.0,-134.0,-25.0,-40.0,-1083.0,-885.0
107,-2.0,-300.0,-233.0,-1449.0,-70.0,-30.0,-27.0,-1111.0,-805.0
108,4.0,-307.0,-212.0,-1260.0,-3.0,-46.0,-6.0,-1143.0,-732.0
109,9.0,-309.0,-196.0,-1075.0,61.0,-74.0,24.0,-1164.0,-666.0
110,13.0,-313.0,-180.0,-929.0,127.0,-110.0,45.0,-1181.0,-604.0
111,18.0,-315.0,-171.0,-836.0,197.0,-147.0,60.0,-1213.0,-553.0
112,28.0,-324.0,-154.0,-790.0,262.0,-183.0,88.0,-1245.0,-497.0
113,29.0,-327.0,-149.0,-775.0,314.0,-218.0,106.0,-1265.0,-461.0
114,36.0,-339.0,-139.0,-774.0,355.0,-242.0,119.0,-1298.0,-446.0
