,acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label
3045,1.0,-234.0,-33.0,-26.0,23.0,244.0,-17.0,-900.0,-38.0,6
3046,0.0,-235.0,-37.0,-15.0,23.0,234.0,-16.0,-888.0,-31.0,6
3047,1.0,-234.0,-32.0,0.0,19.0,227.0,-12.0,-889.0,-27.0,6
3048,-2.0,-234.0,-36.0,8.0,17.0,219.0,-15.0,-888.0,-36.0,6
3049,-4.0,-230.0,-36.0,14.0,20.0,214.0,-9.0,-879.0,-32.0,6
3050,3.0,-233.0,-34.0,16.0,23.0,211.0,-7.0,-893.0,-33.0,6
3051,4.0,-234.0,-30.0,8.0,30.0,211.0,-7.0,-900.0,-23.0,6
3052,0.0,-238.0,-30.0,0.0,35.0,218.0,-10.0,-905.0,-7.0,6
3053,-4.0,-258.0,-26.0,0.0,36.0,224.0,-12.0,-926.0,8.0,6
3054,4.0,-248.0,-22.0,11.0,30.0,237.0,-12.0,-939.0,21.0,6
3055,-1.0,-251.0,-18.0,30.0,19.0,251.0,-13.0,-948.0,34.0,6
3056,-2.0,-251.0,-12.0,53.0,8.0,265.0,-15.0,-958.0,39.0,6
3057,-2.0,-255.0,-19.0,75.0,-3.0,282.0,-14.0,-970.0,34.0,6
3058,-2.0,-255.0,-23.0,85.0,-12.0,300.0,-15.0,-981.0,26.0,6
3059,-4.0,-252.0,-24.0,83.0,-18.0,320.0,-24.0,-980.0,10.0,6
3060,-6.0,-255.0,-27.0,66.0,-23.0,336.0,-38.0,-964.0,2.0,6
3061,-14.0,-254.0,-31.0,47.0,-30.0,345.0,-56.0,-961.0,-19.0,6
3062,-19.0,-249.0,-37.0,23.0,-37.0,352.0,-77.0,-949.0,-37.0,6
3063,-16.0,-246.0,-36.0,-3.0,-47.0,355.0,-89.0,-941.0,-47.0,6
3064,-15.0,-239.0,-35.0,-26.0,-54.0,351.0,-104.0,-920.0,-57.0,6
3065,-25.0,-239.0,-39.0,-47.0,-58.0,345.0,-117.0,-912.0,-59.0,6
3066,-28.0,-236.0,-41.0,-63.0,-62.0,336.0,-125.0,-900.0,-56.0,6
3067,-30.0,-235.0,-38.0,-72.0,-66.0,325.0,-135.0,-901.0,-58.0,6
3068,-32.0,-238.0,-38.0,-79.0,-73.0,311.0,-140.0,-907.0,-50.0,6
3069,-31.0,-239.0,-37.0,-87.0,-81.0,291.0,-140.0,-912.0,-48.0,6
3070,-31.0,-241.0,-31.0,-87.0,-95.0,278.0,-131.0,-923.0,-28.0,6
3071,-25.0,-253.0,-28.0,-78.0,-103.0,264.0,-119.0,-946.0,-6.0,6
3072,-20.0,-254.0,-19.0,-60.0,-107.0,252.0,-101.0,-976.0,22.0,6
3073,-13.0,-262.0,-15.0,-26.0,-108.0,238.0,-79.0,-992.0,45.0,6
3074,-8.0,-264.0,-12.0,20.0,-106.0,228.0,-53.0,-1014.0,50.0,6
3075,-1.0,-260.0,-18.0,67.0,-104.0,223.0,-24.0,-1029.0,54.0,6
3076,6.0,-272.0,-10.0,106.0,-96.0,219.0,-3.0,-1040.0,58.0,6
3077,12.0,-273.0,-10.0,144.0,-85.0,221.0,27.0,-1057.0,55.0,6
3078,13.0,-269.0,-12.0,177.0,-71.0,226.0,42.0,-1045.0,52.0,6
3079,18.0,-271.0,-16.0,209.0,-46.0,233.0,54.0,-1042.0,42.0,6
3080,21.0,-267.0,-17.0,243.0,-24.0,243.0,65.0,-1030.0,44.0,6
3081,24.0,-261.0,-19.0,278.0,3.0,248.0,69.0,-1004.0,41.0,6
3082,25.0,-255.0,-17.0,314.0,35.0,255.0,66.0,-976.0,27.0,6
3083,22.0,-248.0,-18.0,350.0,70.0,256.0,60.0,-941.0,26.0,6
3084,21.0,-239.0,-17.0,377.0,108.0,257.0,60.0,-907.0,22.0,6
3085,26.0,-222.0,-41.0,394.0,146.0,259.0,48.0,-877.0,21.0,6
3086,13.0,-218.0,-16.0,399.0,182.0,260.0,36.0,-855.0,28.0,6
3087,7.0,-217.0,-16.0,398.0,214.0,259.0,16.0,-835.0,41.0,6
3088,3.0,-215.0,-10.0,386.0,236.0,260.0,-1.0,-829.0,56.0,6
3089,-1.0,-214.0,-11.0,374.0,235.0,263.0,-3.0,-829.0,71.0,6
3090,3.0,-223.0,-9.0,351.0,220.0,264.0,13.0,-859.0,62.0,6
3091,16.0,-233.0,-16.0,315.0,216.0,250.0,35.0,-887.0,42.0,6
3092,15.0,-236.0,-21.0,261.0,243.0,224.0,42.0,-919.0,19.0,6
3093,14.0,-241.0,-21.0,193.0,289.0,192.0,35.0,-926.0,10.0,6
3094,5.0,-249.0,-13.0,139.0,319.0,167.0,5.0,-948.0,12.0,6
3095,-2.0,-255.0,-14.0,98.0,313.0,152.0,-15.0,-978.0,27.0,6
3096,-2.0,-268.0,-6.0,85.0,278.0,146.0,-32.0,-1007.0,53.0,6
3097,-9.0,-266.0,-15.0,112.0,241.0,144.0,-46.0,-1022.0,51.0,6
3098,-14.0,-270.0,-22.0,162.0,214.0,148.0,-73.0,-1036.0,29.0,6
3099,-24.0,-267.0,-24.0,223.0,197.0,151.0,-109.0,-1022.0,18.0,6
3100,-36.0,-264.0,-27.0,267.0,180.0,151.0,-155.0,-1014.0,-14.0,6
3101,-55.0,-258.0,-35.0,294.0,147.0,138.0,-207.0,-1002.0,-32.0,6
3102,-65.0,-262.0,-43.0,302.0,92.0,125.0,-252.0,-1012.0,-52.0,6
3103,-75.0,-265.0,-49.0,286.0,27.0,108.0,-299.0,-1030.0,-78.0,6
3104,-80.0,-271.0,-56.0,252.0,-28.0,95.0,-334.0,-1051.0,-105.0,6
3105,-86.0,-272.0,-61.0,206.0,-71.0,81.0,-360.0,-1064.0,-124.0,6
3106,-91.0,-273.0,-63.0,157.0,-100.0,68.0,-379.0,-1071.0,-132.0,6
3107,-89.0,-288.0,-58.0,117.0,-114.0,49.0,-400.0,-1073.0,-135.0,6
3108,-99.0,-279.0,-57.0,103.0,-123.0,33.0,-410.0,-1069.0,-120.0,6
3109,-108.0,-276.0,-49.0,130.0,-134.0,16.0,-420.0,-1052.0,-100.0,6
3110,-105.0,-271.0,-50.0,190.0,-141.0,3.0,-421.0,-1033.0,-76.0,6
3111,-99.0,-262.0,-44.0,266.0,-147.0,-6.0,-416.0,-1005.0,-58.0,6
3112,-95.0,-253.0,-41.0,341.0,-142.0,-8.0,-395.0,-970.0,-50.0,6
3113,-85.0,-245.0,-41.0,392.0,-131.0,-12.0,-368.0,-926.0,-51.0,6
3114,-74.0,-236.0,-48.0,410.0,-114.0,-18.0,-321.0,-903.0,-56.0,6
3115,-66.0,-231.0,-45.0,378.0,-91.0,-36.0,-290.0,-881.0,-69.0,6
3116,-55.0,-231.0,-46.0,311.0,-59.0,-59.0,-235.0,-882.0,-80.0,6
3117,-42.0,-229.0,-49.0,213.0,-22.0,-84.0,-191.0,-894.0,-76.0,6
3118,-42.0,-240.0,-37.0,103.0,21.0,-113.0,-155.0,-912.0,-64.0,6
3119,-26.0,-247.0,-40.0,-25.0,78.0,-140.0,-122.0,-953.0,-41.0,6
3120,-16.0,-257.0,-32.0,-112.0,123.0,-159.0,-91.0,-1005.0,-22.0,6
3121,-12.0,-272.0,-26.0,-176.0,157.0,-176.0,-73.0,-1054.0,7.0,6
3122,-13.0,-287.0,-21.0,-212.0,182.0,-184.0,-66.0,-1108.0,23.0,6
3123,-11.0,-306.0,-21.0,-229.0,200.0,-190.0,-61.0,-1163.0,19.0,6
3124,-9.0,-323.0,-28.0,-233.0,216.0,-192.0,-64.0,-1227.0,12.0,6
3125,-15.0,-337.0,-27.0,-243.0,230.0,-198.0,-76.0,-1272.0,-5.0,6
3126,-17.0,-346.0,-38.0,-249.0,248.0,-201.0,-97.0,-1325.0,-18.0,6
3127,-23.0,-358.0,-34.0,-252.0,270.0,-202.0,-128.0,-1366.0,-29.0,6
3128,-36.0,-362.0,-38.0,-246.0,300.0,-200.0,-154.0,-1410.0,-40.0,6
